skill_no,grammar_skills,skill_description,skill_examples
60,Present Perfect: with 'for' and 'since',"We use Present Perfect + for/since to talk about an action or situation that started in the past and continues until now.
for = shows the duration of time (how long)
since = shows the starting point (when it began)
Structure:
Subject + have/has + past participle + for/since + time
","1. I have lived here for five years.
2. She has worked at this company for two months.
3. We have known each other since 2018.
4. He has played football since he was a child."
61,Present Perfect vs. Past Simple: distinguishing use,"The Present Perfect and the Past Simple are both used to talk about past actions, but they are used in different ways.

- Structure: Present Perfect (have/has + past participle)
We use the Present Perfect when:The time is not finished (today, this week, this year).
The exact time of the action is not important or not mentioned.The action has a connection to now (the result is important in the present).

- Example: I have visited Delhi twice. (It’s not important when; the experience is important now.)

- Structure: Past Simple (verb + -ed or irregular form)
We use the Past Simple when:The action happened at a finished time in the past (yesterday, last week, in 2010).
The time is mentioned or clear from the context.The action is completely finished, with no connection to the present.

- Example: I visited Delhi last year. (The time is clear and finished.)","1.  I have never eaten sushi. (Present Perfect – experience, no time mentioned)
2. She has already finished her homework. (Present Perfect – result now)
3.  We went to the beach last Sunday. (Past Simple – finished time is given)"
62,Passive Voice (Present Simple): The room is cleaned.,"The Passive Voice is used when the action is more important than the person who does it. We use it when we don’t know or don’t need to say who does the action.
Structure:
Subject + am/is/are + past participle
When to use it?
To talk about general truths or facts.
To describe regular actions.","1. The room is cleaned every day.
2. The homework is done by the students.
3. These cars are made in Germany."
63,Passive Voice (Past Simple): The window was broken.,"The Past Simple Passive is used to show that something happened in the past and the action is more important than who did it. We often use it when the person who did the action is unknown or not important.
Structure:
Subject + was/were + past participle.
To talk about completed actions in the past where the focus is on the action.
When we don’t know who did the action.
","1. The window was broken yesterday.
2. The letters were sent last week.
3. The cake was eaten in the morning."
64,used to': for past habits,"We use used to to talk about things we did regularly in the past but don’t do now. It shows past habits or repeated actions that have changed.
Structure:
Subject + used to + base verb
didn’t use to + base verb
I didn’t use to like coffee. (But now I like it.)
Questions
Did + subject + use to + base verb?
When to use it?
For past habits: I used to read a lot.
For past situations: There used to be a cinema here.","1. I used to play football every day. 
2. She used to live in London. 
3. We used to go to the park on Sundays."
65,Modal Verbs (advice): should/shouldn't,"We use should to give advice, suggestions, or say what is the right thing to do.
We use shouldn’t to say what is not a good idea or not right to do.
Structure:
Subject + should / shouldn’t + base verb
Should + subject + base verb?
Should I call her now?
Should we take a taxi?
When do we use it?
 To give advice: You should drink water when you are thirsty.
 To make a suggestion: We should go to the park.","1. You should eat more vegetables. 
2. He should see a doctor.
3. They shouldn’t be late for class."
66,Modal Verbs (obligation): must/have to,"We use must or have to to show that something is necessary or obligatory.
must = very strong personal or official rule.
have to = something that is necessary because of a rule or situation.
Structure:
Subject + must / have to + base verb
Must + subject + base verb?
Must I pay now?
Do/Does + subject + have to + base verb?
Do you have to leave early?
","1. You must wear a helmet on a bike.
2. I have to finish my homework before dinner. 
3. We must not park here. "
67,Modal Verbs (possibility): might/may,"We use might and may to talk about something that is possible, but we are not sure.
Structure:
Subject + might/may + base verb
Might / May + subject + base verb?
May I open the window?","1. It might rain later.
2. She may come to the party. 
3. I might not go to the meeting."
68,Infinitive of Purpose: I went to the shop to buy bread.,"We use the infinitive (to + verb) to explain why we do something – this is called purpose.
 Structure:
Subject + verb + to + base verb
Why do we use it?
To explain the reason for an action.","1. I went to the shop to buy bread. 
2. She is studying hard to pass the exam. 
3. He called me to ask a question."
69,"Verb + to-infinitive: want to, need to, decide to","Some verbs are followed by to + base verb. This is called the to-infinitive form.
Common verbs:
want to
need to
decide to
Structure:
Subject + verb + to + base verb
It shows what someone wants, needs, or decides to do.","1. I want to eat pizza.
2. She needs to study for the test.
3. They decided to go to the park."
70,"Verb + -ing (gerund): enjoy, finish, suggest","Some verbs are followed by another verb in the -ing form (called a gerund).
Common verbs
enjoy
finish
suggest
Structure
Subject + verb + verb-ing
We use the -ing form after certain verbs to talk about activities.","1. I enjoy swimming in the sea.
2. She finished reading the book.
3. They suggest going to the park."
71,"Comparative Adjectives: -er/more, than","We use comparative adjectives to compare two people, places, or things.
We often use than to show the difference.
How to form?
Short adjectives (1 syllable): Add -er
Example: big → bigger
Adjectives ending in -y: Change -y to -ier
Example: happy → happier
Long adjectives (2+ syllables): Use more before the adjective
Example: expensive → more expensive
Structure
Subject + verb + comparative adjective + than + object
","1. My house is bigger than your house.
2. She is happier than yesterday.
3. This phone is more expensive than that one."
72,Superlative Adjectives: -est/the most,"We use superlative adjectives to show that something is the best, biggest, or most in a group.
It means the highest degree of a quality.
How to form?
Short adjectives (1 syllable): Add -est
Example: big → the biggest
Adjectives ending in -y: Change -y to -iest
Example: happy → the happiest
Long adjectives (2+ syllables): Use the most before the adjective
Example: expensive → the most expensive
 Structure
Subject + verb + the + superlative adjective + object
","1. Mount Everest is the highest mountain in the world.
2. This is the most interesting book I have.
3. She is the happiest person in the class."
73,as...as': for comparisons,"We use as...as to show that two people, things, or places are equal in a quality.
It means the same degree of something.
Structure:
Subject + verb + as + adjective + as + object
Use not as...as to show inequality: She is not as smart as her sister.
Common adjectives used: big, small, tall, fast, interesting, good, expensive.","1. My bag is as big as yours.
2. She is as tall as her brother.
3. This book is as interesting as that one."
74,"Adverbs of Manner: quickly, badly, well","Adverbs of manner tell us how an action is done.
They usually answer the question “How?”
How to form:
Many adverbs are formed by adding -ly to an adjective:
quick → quickly
bad → badly
Some common adverbs do not follow the -ly rule:
good → well
Structure:
Subject + verb + adverb
","1. She runs quickly.
2. He speaks badly in English.
3. I play football well."
75,enough' : big enough,"Enough shows that there is sufficient of something.
Too shows that something is more than necessary or more than good.
Structure:
Adjective + enough → shows sufficiency
The room is big enough for two people.
Too + adjective → shows excess
The bag is too heavy to carry.","1. We have enough food for everyone.
3. This exercise is easy enough for beginners.
3. She isn’t tall enough to reach the shelf."
76, 'too': too big,"Enough shows that there is sufficient of something.
Too shows that something is more than necessary or more than good.
Structure:
Adjective + enough → shows sufficiency
The room is big enough for two people.
Too + adjective → shows excess
The bag is too heavy to carry.","1. This shirt is too small for me.
2. The bag is too heavy to carry.
3. It’s too late to call him now."
77,"Defining Relative Clauses: the man who, the car that/which","Defining relative clauses give essential information about a person, thing, or place.
We use who, that, or which to connect the main sentence with more details.
who → for people
that / which → for things or animals
 Structure:
Main clause + relative pronoun + verb + rest of clause
-Do not use commas in defining relative clauses.
-The clause gives important information; without it, the sentence would be unclear.","1. The man who is wearing a hat is my uncle.
2. The car that is red belongs to my sister.
3. I like books which have pictures."
78,"Question Tags (basic): It's nice, isn't it?","A question tag is a short question at the end of a statement.
We use it to confirm information or ask for agreement.
 Structure:
If the statement is positive, the question tag is negative.
If the statement is negative, the question tag is positive.
Formula:
Statement + auxiliary verb + subject?
-Use the same auxiliary verb as in the statement.
-If there is no auxiliary, use do/does/did.
-Question tags are common in speaking to check information.
","1. It’s nice, isn’t it? 
2. You’re a teacher, aren’t you?
3. She isn’t tired, is she?"
79,Reported Speech (statements): He said that...,"Reported speech is used to say what someone else said.
We don’t use the exact words (direct speech); instead, we report it.
 Structure:
Subject + said (that) + reported clause
The word “that” is optional.","1. He said that he was hungry.
2. She said that they were going to the park.
3. He said that his parents were at home."
80,"First Conditional: If you go, I will go.","The First Conditional is used to talk about real and possible situations in the future.We use it when we think something can really happen.

- Structure:If + present simple, will + base verb

The if-clause (condition) uses the present simple tense.
The main clause (result) uses will + verb.

Example: If you go, I will go.
Condition: If you go (present simple)
Result: I will go (will + verb)","1. If you study, you will pass the exam.
2. If it rains tomorrow, we will take an umbrella.
3. If she calls, I will answer the phone."
81,"Future time clauses: with 'when', 'as soon as', 'before', 'after'","We often talk about the future using future time clauses. These are sentences that tell us when something will happen in the future. We use words like when, as soon as, before, after to connect two actions.
- when: shows the time something happens.
- as soon as: means immediately after something happens.
- before: something happens earlier than another action.
- after: something happens later than another action.","1. I will call you when I reach home.
2. We will start eating as soon as everyone arrives.
3. She will finish her homework before she goes to bed.
4. They will play cricket after they complete their lessons."
82,"Pronouns: something, anything, nothing, etc.","These words are indefinite pronouns. We use them when we talk about people, things, or places in a general way, but we do not say exactly which one.

- Something: We use something for positive sentences when we talk about a thing, but not a specific one.
Example: I want something to eat.

- Anything: We use anything in questions and negative sentences.
Example: Do you need anything?

- Nothing: We use nothing when we mean “not a single thing.”It makes the sentence negative without using not.
Example: There is nothing in the box.","1. I want something cold to drink.
2. Did you see anything interesting at the market?
3. There is nothing in my bag."
83,"Pronouns: somebody, anybody, nobody, etc.","These words are used when we talk about people in a general way, but we don’t say exactly who.

- Somebody / Someone: a person, but we don’t know which person.
Use: in positive sentences and sometimes in questions when we expect “yes.”
Example: Somebody is at the door.

- Anybody / Anyone: any person, no matter who.
Use: in questions and negative sentences.
Example: I didn’t see anybody in the park.

- Nobody / No one: no person.
Use: in positive form of the verb (not with “not”), but the meaning is negative.
Example: Nobody knows the answer.","1. Somebody left a bag in the classroom.
2. I don’t know anybody in this city.
3. Nobody was at home when I arrived."
84,"Reflexive Pronouns: myself, yourself","Reflexive pronouns are used when the subject and the object of a sentence are the same person. They show that the action of the verb comes back to the person who does it.
For example:
I taught myself to play the guitar.
Here, I (the subject) and myself (the object) refer to the same person.","1. I taught myself how to cook simple meals.
2. Be careful, or you might hurt yourself.
3. Did you finish the project all by yourself?"
85,"Prepositions of Movement: to, from, into, out of","Prepositions of movement show direction. They tell us where someone or something is going or coming from.These prepositions help us describe movement clearly, showing the direction and change of position.

- To: We use to when we show movement toward a place or person.
Example: She is going to the park.

- From: We use from when we show the starting point of movement.
Example: He is coming from school.
(To and from are often used together: I go to work from home.)

- Into: We use into when something moves from outside to inside a place.
Example: The cat jumped into the box.

- Out of: We use out of when something moves from inside to outside a place.
Example: She ran out of the room.","1. She walked to the bus stop.
2. He came from the airport.
3. The cat ran into the house.
4. They walked out of the classroom."
86,"all', 'most', 'some', 'any', 'no' as determiners","We use all, most, some, any, no before nouns to talk about quantity (how much or how many). They do not give an exact number but show how much of a group we are speaking about.
- These words go before a noun (countable or uncountable).They help us talk about how much or how many without giving exact numbers.","1. All the students were present.
2. Most people like chocolate.
3. I have some money.
4. I don’t have any sugar.
5. There is no milk in the fridge."
87,"both', 'either', 'neither'","These three words are used to talk about two people or two things.
-  Both: means the two together.We use it when something is true for two people or two things.
Example: Both my parents are teachers.
(It means my mother and my father are teachers.)

- Either: means one or the other (but not both).We use it to show a choice between two things.
Example: You can take either the bus or the train.
(It means you can choose one, bus or train.)

- Neither: means not one and not the other.We use it when something is not true for both.
Example: Neither answer is correct.
(It means answer A is not correct and answer B is not correct.)","1. Both shops are open today.
2. You can sit on either side of the table.
3. Neither of the boys likes chess."
88,"Quantifiers with countable nouns: a lot of, a little, a few","We use quantifiers to talk about the amount or number of something. Some nouns can be countable (we can count them: one apple, two apples), and some are uncountable (we cannot count them: water, sugar).

- We often use the quantifiers a lot of, a little, a few to show quantity.
- A lot of: We use a lot of with both countable and uncountable nouns.It means “many” or “much.”
Example: There are a lot of books in the library. (countable)
Example: She has a lot of money. (uncountable)

- A few: We use a few with countable nouns only.It means “some,” but not many.
Example: I have a few friends in this city.

- A little: We use a little with uncountable nouns only.It means “some,” but not much.
Example: There is a little milk in the fridge.","1. I have a lot of friends at school.
2. He has few pens, so he needs more.
3. She bought a few apples from the market."
89,"Quantifiers with uncountable nouns: a lot of, a little, a few","We use quantifiers to talk about the amount or number of something. Some nouns can be countable (we can count them: one apple, two apples), and some are uncountable (we cannot count them: water, sugar).

- We often use the quantifiers a lot of, a little, a few to show quantity.
- A lot of: We use a lot of with both countable and uncountable nouns.It means “many” or “much.”
Example: There are a lot of books in the library. (countable)
Example: She has a lot of money. (uncountable)

- A few: We use a few with countable nouns only.It means “some,” but not many.
Example: I have a few friends in this city.

- A little: We use a little with uncountable nouns only.It means “some,” but not much.
Example: There is a little milk in the fridge.","1. I have a lot of water in my bottle.
2. She needs a little sugar for the cake.
3. We don’t have a lot of time to finish the work."
90,Questions with prepositions at the end: Who are you talking to?,"Some questions end with a preposition (words like to, with, about, for, at, in). This happens when the question word (who, what, which, where) is asking about the object of the preposition.
- For example:
Statement: You are talking to my friend.
Question: Who are you talking to?
","1. Who are you talking to?
2. What are you looking for?
3. Who are you waiting for?"
91,Indirect Questions: Do you know where the bank is?,"We sometimes ask questions in a polite or indirect way. Instead of asking directly, we add a phrase at the beginning, like Do you know…?, Can you tell me…?, or Could you show me…?
- Indirect questions are useful in everyday situations. They sound more polite and are common when speaking to strangers, teachers, or in formal situations.
","1. Do you know where the bus stop is?
2. Can you tell me how I can get to the station?
3. Could you explain what this word means?"
92,"Conjunctions: although, so, because","Conjunctions are words we use to connect ideas in a sentence.They help us explain reasons, results, or contrast.
- Because: We use because to give a reason.It answers the question Why?
Structure: main clause + because + reason.
Example: I stayed home because it was raining.

- So: We use so to show a result or effect.It answers the question What happened as a result?
Structure: reason + so + result.
Example: It was raining, so I stayed home.

- Although: We use although to show contrast (something surprising or opposite).It means but, even if.
Structure: although + contrast, main clause.
Example: Although it was raining, I went for a walk.","1. I was tired, so I went to bed early.
2. She didn’t eat lunch because she wasn’t hungry.
3. Although the exam was difficult, he passed."
93,Word order of adverbs of frequency,"Adverbs of frequency tell us how often something happens.
- Position in a sentence: Adverbs of frequency usually come before the main verb.
Example: She always drinks tea in the morning.
- But if the verb is to be (am, is, are), the adverb comes after the verb.
Example: He is usually on time.

- With auxiliary verbs: When there is an auxiliary verb (have, will, can, etc.), the adverb comes after the auxiliary and before the main verb.
Example: You can always ask me for help.

- Beginning or end of a sentence: Sometimes adverbs of frequency can also come at the beginning or the end of a sentence, but this is less common. It is used for emphasis.
Example: Sometimes I walk to school.","1. I always eat breakfast before school.
2. She is often late for class.
3. They usually play cricket on Sundays.
4. Sometimes we go out for dinner."
94,"get': common uses (get a job, get tired)","The verb “get” is very common in English.You can use “get” in these ways:
- To receive or obtain something: You use get when you receive something or someone gives you something.
Example: I got a letter yesterday.

- To buy something: Get can mean the same as buy.
Example: She got a new phone last week.

- To arrive at a place: You can use get to talk about arriving.
Example: We got home at 8 p.m.","1. I got a new job last month.
2. She gets tired after running.
3. He got a new phone last week."
95,"Phrasal Verbs (introduction): get up, turn on, look for","A phrasal verb is a verb that is combined with a small word like a preposition or adverb (for example: up, on, for). Together, they make a new meaning that is sometimes different from the original verb.
- get up – to leave your bed after sleeping.
Example: I get up at 7:00 every morning.

- turn on – to start a machine, light, or device so it works.
Example: Please turn on the TV.

- look for – to try to find something or someone.
Example: She is looking for her keys.","1. I usually get up early on weekdays.
2. Can you turn on the light? It’s dark here.
3. He is looking for his phone in the bag."
96,"Making suggestions: Let's..., Why don't we...?","When we want to suggest an idea or plan something with other people, we can use special phrases in English. 
-  Let’s + verb: We use Let’s when we want to include ourselves and the other person in the plan.It is short for Let us.  After Let’s, we use the base form of the verb (without to).

Example: Let’s go to the park.

- Why don’t we + verb: We use Why don’t we …? when we suggest something in the form of a question.It is a friendly way to give an idea and ask for agreement.The verb after Why don’t we is also in the base form.

Example:Why don’t we try that new restaurant?","1. Let’s make some sandwiches for lunch.
2. Why don’t we visit the museum this weekend?
3.  Let’s sit near the window."
97,Making offers and invitations: Would you like...?,"When we want to offer something to someone or invite them to do something politely, we often use the question form “Would you like…?”. This is a very common and polite way to show kindness, suggest an activity, or make someone feel welcome.

- Structure: Would you like + noun? → for offering things; Would you like + to + verb? → for inviting someone to do something.","1. Would you like some coffee?
2. Would you like to sit here?
3. Would you like to come to my house tomorrow?"
98,Expressing purpose with 'for' + -ing,"- When we want to say why we use something or why something is done, we can use “for” + -ing form of the verb.
- This structure shows the purpose of an object or action.
Form:for + verb-ing
Examples of verbs in -ing form: eating, writing, cooking, learning

- How it works:
We use “for” + -ing to explain the function of an object.
Example: A knife is for cutting bread.

- We use it to say the reason or purpose of an action.
Example: This course is for learning English.

- It is different from “to + verb”, but the meaning is similar when talking about purpose.
Example: I use this app to practice English.","1. This brush is for painting walls.
2. A pen is for writing.
3. This box is for keeping old letters."
99,"Possessive Pronouns: mine, yours, his, hers","Possessive pronouns are words we use to show that something belongs to someone. Instead of repeating the noun again, we use a pronoun.

- For example, if we say This is my bag, we can also say This bag is mine. Both sentences mean the same, but the second one uses a possessive pronoun.","1. This phone is mine, not yours.
2. That jacket is his, but the shoes are hers.
3. Is this notebook yours?"
100,one' and 'ones' as pronouns,"Sometimes we don’t want to repeat a noun again and again. Instead, we can use one (singular) or ones (plural).
- One replaces a singular countable noun.
- Ones replaces a plural countable noun.

","1. I lost my phone, so I need to buy a new one.
2. These cookies are tasty. Can I have another one
3. Those are nice shirts, but I like the striped one best."
101,"Past participle as adjective: broken, interested","-We can use the past participle form of verbs (for example: broken, interested, tired) as adjectives.
This means they describe a noun (a person, place, or thing).
- The past participle often shows a result or a feeling.
The broken chair → The chair is not good anymore.
An interested student → The student wants to know more.

- How to Use Them
Before a noun → adjective + noun
a closed door
an excited child

- After “be” → noun + be + adjective
The shop is closed.
She is tired.","1. She is interested in learning English.
2.  They are tired after the long walk.
3.  The shop is closed on Sunday."
102,Articles: 'the' vs. no article (general vs. specific),"We sometimes use the article “the”, and sometimes we use no article (nothing before the noun). This depends on whether we are speaking about something specific or something general.

- Using “the” (specific): We use “the” when we are talking about a specific person, place, or thing that the listener or reader already knows.

Example: The book on the table is mine. (a specific book)
Example: I saw the movie you recommended. (a specific movie)

- Using no article (general): We use no article when we talk about things in general, not one specific thing.

Example: Books are important for learning. (all books in general)
Example: I like music. (music in general, not one piece of music)","1. Please pass me the tea on the table. 
2. Dogs are friendly animals. 
3. The sun is bright today. "
103,"Present- ""I've got""","“I’ve got” is the short form of “I have got”.
We use it to talk about things we have (possession), and sometimes for family relationships or body parts.
It is very common in British English.
Structure:
Subject + have/has got + object
I/you/we/they → have got
He/she/it → has got
Short forms:
I have got → I’ve got
He has got → He’s got","1. I’ve got a new phone. 
2. She’s got two brothers. 
3. We’ve got a big house."
104,"Past- ""I used to""","“I used to” is used to talk about past habits or states that are not true now.
It shows something you did regularly in the past, but you don’t do it anymore.
Structure:
Subject + used to + base verb","1. I used to play football every day. 
2. She used to live in London.
3. We used to eat dinner at 7 pm."
105,"Present perfect- ""Ago""","“Ago” shows how much time has passed from now to a moment in the past.
It is used with the Past Simple tense, not Present Perfect, because it refers to a finished time.
Position: “Ago” comes after the time expression.
Structure:
Subject + Past Simple verb + time expression + ago","1. I started this job three years ago.
2. She called me an hour ago.
3. They went to London a month ago."
106,Present Perfect: how long have you ...?,"We use “How long have you…?” to ask about the duration of an action or state that started in the past and continues now.
It is used with the Present Perfect tense.
Common answers use for (a period) or since (a point in time).
Structure:
How long + have/has + subject + past participle…?","1. How long have you lived here? 
2. How long has she known him?
3. How long have they been friends? "
107,Passive: is being done   has been done ,"The Passive Voice is used when the action is more important than who does it.
is being done → Present Continuous Passive → for an action happening right now.
has been done → Present Perfect Passive → for an action completed recently or that affects the present.
Structure:
is/are + being + past participle
has/have + been + past participle","
1. The homework is being checked by the teacher.
2. The car is being washed right now.
3. The homework has been done already.
4. The report has been written by Sarah."
108,Modals and imperatives: Do this! Don't do that! Let's do this!  ,"Imperatives are used to give orders, instructions, advice, or invitations.
They usually start with the base form of the verb (no subject).
We can use Do for emphasis, Don’t for negative, and Let’s to make a suggestion.
 Structure:
Do + verb → to encourage or emphasize.
Don’t + verb → to tell someone not to do something.
Let’s + verb → to suggest doing something together.","1. Do come in!
2. Don’t touch that! (
3. Let’s go to the park! "
109,"Modals: ""I'd rather""","“I’d rather” is short for “I would rather”.
We use it to say what we prefer or what we would like to do instead of something else.
It is followed by the base form of the verb (without to).
Structure:
I’d rather + verb (base form)
I’d rather + verb (base form) + than + verb (base form) (for comparing two options)
","1. I’d rather stay at home. 
2. I’d rather drink tea than coffee. 
3. She’d rather walk than take the bus."
110,"Go, get, do, make, have","These verbs are very common in English and are often used with other words to form collocations (words that go together naturally). Each has different meanings:

1. GO
Used for movement or activities.
Structure: go + place OR go + -ing (activity)
2. GET
Used for receiving, becoming, or obtaining.
Structure: get + noun OR get + adjective
3. DO
Used for activities, work, or general actions.
Structure: do + activity
4. MAKE
Used for creating or producing something.
Structure: make + object
HAVE
Used for possessions, food, experiences, or relationships.
Structure: have + noun","1. I go to school every day.
2. Can you get me some water?
3. I do my homework in the evening.
4. Don’t make a mistake.
5. I have a car."
111,Phrasal verbs (run away/ fall off) ,"A phrasal verb is a verb + one or two small words (like away, off, up, out).
The meaning is often different from the main verb.
Examples
1. run away
Meaning: to leave a place or escape quickly.
2. fall off
Meaning: to drop down from something.
Subject + phrasal verb + object (sometimes)","1. The dog ran away from home.
2. She ran away because she was scared.
3. Be careful! You might fall off the bike."
112,"Auxillary verb: ""I have"", ""have you?"", ""you are"", ""are you?""","An auxiliary verb (or helping verb) is a verb that helps the main verb make questions, negatives, and some tenses (like present perfect or continuous).
Common auxiliary verbs are: be (am, is, are), have (have, has), do (do, does, did).
We use them:
 To make questions → Are you happy?
 To make short answers → Yes, I am.
 In tenses → I have finished my homework.","1. I have two brothers.
2. I have finished my lunch.
3. Have you got a pen?
4. Are you from India?"
113,Present Perfect Simple : I have done ,"The Present Perfect Simple and the Present Perfect Continuous are both used to talk about actions that connect the past with the present. They are very similar, but there are some important differences.
- Structure: have/has + past participle
I have done, she has gone, we have finished

- Structure: have/has + been + verb-ing
I have been working, he has been playing, they have been studying","1. I have finished reading the book you gave me last week.
2. I have visited three different cities in India this year.
3. I have never tried sushi before, but I want to taste it."
114,Present Perfect Continuous:  I have been doing,"The Present Perfect Simple and the Present Perfect Continuous are both used to talk about actions that connect the past with the present. They are very similar, but there are some important differences.
- Structure: have/has + past participle
I have done, she has gone, we have finished

- Structure: have/has + been + verb-ing
I have been working, he has been playing, they have been studying","1. I have been studying English for three years, and I still enjoy it.
2. She has been working at the company since January, so she knows the process very well.
3. We have been waiting for the bus for over half an hour, and it still hasn’t arrived."
115,Past Perfect Simple: for an earlier past action,"The Past Perfect Simple is a tense we use to talk about an action that happened before another action in the past. It shows the earlier action in a sequence of past events.
We form the Past Perfect with:
had + past participle","1. The film had already started when we arrived.
2. She left before I had finished my meal.
3. Saleem was nervous because he had never spoken in public before."
116,"Narrative Tenses: combining Past Simple, Past Continuous, and Past Perfect","- When we tell a story about the past, we often use different past tenses together. These are called narrative tenses. The main ones are:
Past Simple – for completed actions in the past.
Example: I arrived at the station.

Past Continuous – for actions that were in progress at a certain moment in the past.
Example: It was raining when I left.

Past Perfect – for actions that happened before another action in the past.
Example: I had finished my homework before my friend called.","1.  When I arrived at the party, everyone was dancing and someone had already started the music.
2. I was walking home yesterday when I saw an old friend I hadn’t met for years.
3. She had prepared all the food before the guests came, so everything was ready."
117,Future Continuous: I will be working.,The Future Continuous tense is used to talk about an action that will be happening at a certain time in the future. It shows that the action will continue for some time and will not be finished immediately.,"1.We will be waiting for you outside the cinema at 7 p.m.
2. Will you be using the computer this evening?
3. This time tomorrow, I will be sitting on a train to Delhi."
118,Future Perfect: I will have finished.,"The Future Perfect tense is used to talk about something that will be completed before a specific time in the future. It is not about what you are doing now, but about what will already be done at a later point.
-Form:Subject + will have + past participle","1. By next month, they will have moved into their new house.
2. In five years, I will have completed my degree.
3. By 10 o’clock tonight, I will have finished my assignments."
119,"Second Conditional: If I had more money, I would buy a car.","The second conditional is used to talk about imaginary or unreal situations in the present or future. It helps us express what we would do if something was different from reality.
-We use it when we imagine a situation that is not true now or is unlikely to happen.
-It often shows wishes, dreams, or impossible conditions.
-Form:If + past simple, would + base verb","1. If he studied harder, he would get better scores.
2. If I won the lottery, I would buy a big house.
3. If we had more money, we would go on holiday."
120,First vs. Second Conditional,"- Conditionals are sentences that talk about situations and their results. The first conditional and second conditional are used to describe different kinds of possibilities.

-  First Conditional- Structure: If + present simple, will + base verb
Use: We use the first conditional to talk about real or possible future situations.
Example meaning: Something may really happen in the future if the condition is true.
Example: If it rains tomorrow, we will stay at home.
(This is possible because rain can really happen tomorrow.)

- Second Conditional- Structure: If + past simple, would + base verb
Use: We use the second conditional to talk about imaginary or unlikely situations in the present or future.
Example meaning: We imagine a situation that is not real or not very likely to happen.
Example: If I won the lottery, I would buy a big house.
(This is imaginary, not a real plan.)","1. If you study hard, you will pass the exam. (First conditional – real possibility)
2.  If I see her later, I will tell her the news. (First conditional)
3.   If I had more free time, I would learn another language. (Second conditional – not real now)"
121,wish' + Past Simple: for present wishes,"We use wish + past simple to talk about things we would like to be different in the present.
It shows that we are not happy with the present situation and we imagine it differently.
- The subject after wish changes to the past simple, but the meaning is about now.","1. She wishes she spoke English more fluently.
2. They wish they didn’t have so much homework.
3. He wishes it didn’t rain so much in his town."
122,"Modals of deduction (present): must be, might be, can't be","When we don’t know something for sure, we often make guesses or deductions. So we use modal verbs like must be, might be, and can’t be to show how certain or uncertain we are. These help us explain how likely we think something is.","1. It’s very dark outside. It must be late.
2. She might be busy right now, so she isn’t answering the phone.
3. This food smells fresh. It can’t be old."
123,"Modals of obligation reviewed: must, have to, can, should, be allowed to","We often use modal verbs to talk about rules, duties, advice, and permission. 
-We use must when something is very necessary or required. It shows a strong obligation.
-Have to is also used for obligation, but it is more common in everyday speech. It is often used for rules or responsibilities.
-We use can to talk about permission or possibility. With permission, it means something is allowed.
-Should is used for giving advice or recommendations. It is weaker than must or have to.
-Be allowed to is used to talk about official permission or rules. It often appears in the passive form.","1. You must wear a seatbelt in the car.
2. I have to wake up early tomorrow.
3. You should drink more water.
4. You can borrow my pen.
5. Students are allowed to use the library after school."
124,had better': for strong advice,"- The phrase “had better” is used to give strong advice or to warn someone about what they should do. It is stronger than should or ought to. If someone doesn’t follow the advice, there might be a problem or a bad result.

- Structuree: Subject + had better + base verb
Example: You had better study for the exam.

- Negative form:Subject + had better not + base verb
Example: You had better not be late.

- Contraction:
Had better is often contracted to ’d better in speaking or informal writing.

Example: You’d better call her now.","1. You had better wear a helmet when you ride a bike, or you might get hurt.
2. She’d better finish the report today, or the boss will be angry.
3. They had better not forget their passports, or they won’t be able to travel."
125,"Modals of permission reviewed: must, have to, can, should, be allowed to","We often use modal verbs to talk about rules, duties, advice, and permission. 
-We use must when something is very necessary or required. It shows a strong obligation.
-Have to is also used for obligation, but it is more common in everyday speech. It is often used for rules or responsibilities.
-We use can to talk about permission or possibility. With permission, it means something is allowed.
-Should is used for giving advice or recommendations. It is weaker than must or have to.
-Be allowed to is used to talk about official permission or rules. It often appears in the passive form.","1. You must wear a helmet when riding a motorcycle.
2. Students have to submit their assignments by Friday.
3. You can borrow my book if you promise to return it tomorrow.
4. Employees should ask for permission before taking a day off.
5. Children are allowed to play in the garden until sunset."
126,"Passive Voice (all main tenses): is being done, has been done","The passive voice is used when the focus is on the action or the object of the action, rather than the person who does it. In many cases, we do not know who does the action, or it is not important to say.
-We form the passive with the verb “to be” + past participle of the main verb.
Depending on the tense, “to be” changes form.","1. The new bridge is being built near the city.
2. The invitations have been sent to all the guests.
3. This song is played on the radio every morning."
127,have something done' (causative): I had my hair cut.,"Sometimes, we don’t do a job or task by ourselves. Instead, we ask or pay another person to do it for us. We often use the structure “have something done” to express this idea.
- Form:Subject + have/has + object + past participle","1. I had my bike repaired after it broke down.
2. She is having her house cleaned this morning.
3. He had his car washed at the petrol station."
